# /Users/meg/haus/deutsch/VOC/VERBEN
Q,A,R,F
zurückschrecken, おじけづく 飛び退く , 0, 0
versagen, 機能しなくなる , 0, 0
verwahren, 大切に保管する , 0, 0
sich verwahren gegen, 〜に抗議する , 0, 0
scharren, 地面をガリガリかく , 0, 0
entgegnen, 言い返す , 0, 0
vormachen, あざむく やって見せて教える , 0, 0
fassen, 理解する 解釈する 把握する つかむ , 0, 0
betreffen, 関係する , 0, 0
sich räuspern, こほんと咳をする , 0, 0
sich einlassen, 手をだす , 0, 0
relegieren, 追放する 降格する , 0, 0
beabsichtigen, 意図する , 0, 0
entblön, 露出させる , 0, 0
wagen, 勇気を出す 挑戦する , 0, 0
vergeuden, 浪費する , 0, 0
anrühren, 触れる 混ぜる , 0, 0
einhergehen, 通り過ぎる 避ける 同時におこる , 0, 0
überantworten, 委ねる 任せる , 0, 0
angehen, 取り組む 関係する , 0, 0
pervertieren, 堕落させる , 0, 0
herumwühlen, 探し回る , 0, 0
begreifen, 理解する , 0, 0
sich begreifen, 自明のことである , 0, 0
beleben, 活気づける , 0, 0
vorbehalten, 留保する 予約する 専用とする , 0, 0
zerfezten, ズタズタにする , 0, 0
lähmen, 麻痺させる , 0, 0
grübeln, 塾考する , 0, 0
zugreifen, しっかり協力する つかむ , 0, 0
umstellen, 切り替える , 0, 0
umstelle auf, 合わせる , 0, 0
sich umstellen, 順応する , 0, 0
überreden zu, 説得する , 0, 0
verhindern, 防ぐ , 0, 0
geraten in, と言う状態に至る 陥る , 0, 0
sickern, しみ出す ポタポタ落ちる , 0, 0
ablösen, 剥がす むく 交代する , 0, 0
sich aufhalten über, 批判する , 0, 0
aussetzen, 中断する 晒す , 0, 0
anfressen, 消耗させる むしばむ 食い尽くす , 0, 0
nicht wahrhaben wollen, を認めようとしない , 0, 0
zurückdrängen, 押し戻す 撃退する , 0, 0
verfestigen, 強化する , 0, 0
verüben, 悪事などをやらかす , 0, 0
vornehmen, 尋問する 聞いて知る 実施する , 0, 0
erlangen, 獲得する , 0, 0
entsprechen, 要望などをかなえる 相当する 対応する , 0, 0
ansprechen, 話しかける 訴えかける , 0, 0
entstehen, 生じる 支払い義務が生じる , 0, 0
sich aussprechtn, 自分の意見を言う , 0, 0
verweisen auf, 指摘する 参照する 指示する , 0, 0
sich verlassen auf, を信頼する , 0, 0
verkümmern, 衰える , 0, 0
hinweisen auf, 指し示す , 0, 0
entsperren, 解除する , 0, 0
belieben, 気に入る , 0, 0
walzen, 本を使って調べる , 0, 0
quengeln, 愚痴をこぼす , 0, 0
erwachen, 目覚める , 0, 0
erteilen, 与える 許可する , 0, 0
zusammensezten, 組み立てる 組み合わせる , 0, 0
vorliegen, 提出されている 手元にある 存在する , 0, 0
erschließen, 打ち明ける 推論する 開発する 開拓する , 0, 0
sich erschließen, 打ち明ける 明らかになる , 0, 0
verfahren, というやりかで行う 振るまう , 0, 0
sich verfahren, 車で道に迷う , 0, 0
einleuchten, 明らかにする , 0, 0
auftreten, 人前に出る 発生する , 0, 0
halten für, と見る とみなす , 0, 0
schließen von auf, 〜から〜を推論する , 0, 0
zielen auf, 狙う , 0, 0
es ankommen auf an, 〜次第である ~が重要問題である , 0, 0
stillen, 渇きを癒す 落ち着かせる , 0, 0
unterrichten, 教える , 0, 0
begehen, 祭りを祝う 悪事を働く , 0, 0
verfassen, 執筆する , 0, 0
vertragen, 堪える 許容する , 0, 0
abregen, 落ち着かせる , 0, 0
verzeihen, 許す , 0, 0
vorsehen, 特定の目的のために計画する , 0, 0
antreten, 出発する 開始する , 0, 0
ausrichten, 調節する 目指す メッセージを渡す , 0, 0
einleiten, 手引きする 取りかかる , 0, 0
dehnen, 伸ばす , 0, 0
einschließen, 含める 閉じ込める , 0, 0
auffallen, 目立つ , 0, 0
erwähnen, 言及する , 0, 0
anklagen, 法律的に告訴する , 0, 0
klagen, 一般的に訴える , 0, 0
betrachten, 見つめる 考察する とみなす , 0, 0
verweisen, どこそこに行くように指示する 命じる , 0, 0
beschuldigen, 避難する , 0, 0
gedenken, 追悼する , 0, 0
anlasten, 責任を負わせる , 0, 0
überreichen, 渡す 提供する , 0, 0
poltern, 騒ぐ , 0, 0
entfesseln, 解き放つ , 0, 0
hindeuten, 暗示する　示唆する　指し示す , 0, 0
zusetzen, 追加する 費やす 注ぎ込む しつこくせがむ 弱らせる 苦しめる , 0, 0
flattern, 羽をバタバタさせてとぶ 不安や興奮でヒクヒクする , 0, 0
erwischen, 捕まえる , 0, 0
funken, 火花をちらす , 0, 0
verkriechen, 隠れる , 0, 0
fremdgehen, 浮気する , 0, 0
vergöttern, 崇拝する , 0, 0
einsehen, 認識する , 0, 0
zusamenhalten, 団結する , 0, 0
düsten, サッと去る , 0, 0
ahnden, 罰する , 0, 0
erleiden, 苦しむ p2: erlitt , 0, 0
lauschen, 聞き入る , 0, 0
anführen, 先導する 実例を挙げる , 0, 0
aufnehmen, 受け入れる 記録する 始める , 0, 0
entgegenwirken, 〜の進行を抑える 妨げる , 0, 0
widerlegen, 論破する , 0, 0
aufspüren, 捜して見つけ出す , 0, 0
mobilisieren, 動員する , 0, 0
ausblenden, 見えなくする , 0, 0
belegen, だと証明する 占める 割り当てる 敷く , 0, 0
abwägen, 比較する 熟慮する , 0, 0
aufbegehen, 逆らう 抗議する 反抗する , 0, 0
bescheinigen, 文書で証明する , 0, 0
umgehen, 扱う 避けて通る 計画などを胸に抱く 噂や病気が広まる 折り返し返信を送る , 0, 0
kiffen, マリファナを吸う , 0, 0
anstehen, 並んで待つ 未処理のまま残っている 似合う , 0, 0
erwirtschaften, 稼ぐ 獲得する , 0, 0
vertreten, 代表する , 0, 0
wegdenken, 無視する 存在しないと考える , 0, 0
zulegen, 増加する , 0, 0
sich verringern, 減少する , 0, 0
dazugehören, それに所属している , 0, 0
erzielen, 達成する , 0, 0
verleihen, 授与する , 0, 0
hinnehmen, 受け入れる , 0, 0
verabschieden, 別れる 法案を通す , 0, 0
beiliegen, 添付同封してある , 0, 0
kubeln, クランクを回す 加速する , 0, 0
befördern zu, 昇進させる 運搬する , 0, 0
